127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/1eb38c5015ab20f7f392783737cd05ed HTTP/1.1" 200 455
127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/5bc94217be28b3957f510db35832bdd4 HTTP/1.1" 200 430
127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/4a8dd16164f0e80efe36cebef2d584b4 HTTP/1.1" 200 450
127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
139.133.11.4 - - [13/May/2014:11:49:27 +0100] "GET /smile-server HTTP/1.1" 302 -
139.133.11.4 - - [13/May/2014:11:49:27 +0100] "GET /smile-server/ HTTP/1.1" 200 364612
139.133.11.4 - - [13/May/2014:11:50:31 +0100] "POST /smile-server/api-1.1/auth HTTP/1.1" 200 240
139.133.11.4 - - [13/May/2014:11:52:29 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 500 5872
139.133.11.4 - - [13/May/2014:11:52:40 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 500 5333
139.133.11.4 - - [13/May/2014:11:53:21 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 201 330
202.53.8.82 - - [13/May/2014:11:54:03 +0100] "GET /reports/rwservlet/showenv HTTP/1.1" 404 1001
139.133.11.4 - - [13/May/2014:11:54:40 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 401 158
139.133.11.4 - - [13/May/2014:11:55:23 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 401 154
139.133.11.4 - - [13/May/2014:11:55:34 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 201 94
139.133.11.4 - - [13/May/2014:11:55:42 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 201 316
139.133.11.4 - - [13/May/2014:11:55:54 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 201 316
139.133.11.4 - - [13/May/2014:11:56:23 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 500 5870
